Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
STC-55-2_R1_001	(1, 39.0143112841369)	(2, 39.420539460752295)	(3, 39.42408916300653)	(4, 39.332024987648104)	(5, 39.26142946165147)	(6, 39.21530526342832)	(7, 39.2140602045794)	(8, 39.18723285200875)	(9, 39.157186643219205)	(10, 39.15798907017539)	(15, 39.374885715565775)	(20, 39.41383895129326)	(25, 39.20675552514446)	(30, 39.18098036322258)	(35, 39.26080436315741)	(40, 39.22237246057653)	(45, 39.16265224478722)	(50, 39.1968785177847)	(55, 39.19381317913903)	(60, 39.16709473005501)	(65, 39.16474634980639)	(70, 39.11838491993745)	(75, 39.11642565974177)	(80, 39.05289820813662)	(85, 39.0217040638608)	(90, 38.99665588597342)	(95, 38.95502743421694)	(100, 38.90297257016928)	(105, 38.87395148280744)	(110, 38.81367120984693)	(115, 38.80095581920893)	(120, 38.78861952298644)	(125, 38.72823310358959)	(130, 38.694066733775784)	(135, 38.67286501701069)	(140, 38.63069091993683)	(145, 38.561475548253554)	(150, 38.572319152382484)
STC-55-2_R2_001	(1, 36.987688830531326)	(2, 38.15533409340197)	(3, 38.29358575381985)	(4, 38.412722909866076)	(5, 38.45714462953233)	(6, 38.46260421571788)	(7, 38.47154520450264)	(8, 38.44546914813725)	(9, 38.47211729243876)	(10, 38.526304484248314)	(15, 38.592821204975095)	(20, 38.63620765225575)	(25, 38.074519059206715)	(30, 37.87772732584606)	(35, 37.867656071761004)	(40, 37.839042777201826)	(45, 37.82441562282549)	(50, 37.78228012445576)	(55, 37.70991156447879)	(60, 37.68048844905582)	(65, 37.626984379116976)	(70, 37.51740228214838)	(75, 37.416620063117655)	(80, 37.33023691521162)	(85, 37.30861687872456)	(90, 37.25276768686926)	(95, 37.15901168519373)	(100, 37.04673356899848)	(105, 36.96854349732456)	(110, 36.85658519896347)	(115, 36.81746403380895)	(120, 36.76888017076167)	(125, 36.685199057464764)	(130, 36.62042667233115)	(135, 36.50200772788666)	(140, 36.4581761423039)	(145, 36.37129697598578)	(150, 36.18273666692044)
STC-55-3_R1_001	(1, 38.99207176314106)	(2, 39.40529552560153)	(3, 39.39908430991128)	(4, 39.30986874072571)	(5, 39.23068208031962)	(6, 39.177879793793856)	(7, 39.18044182823898)	(8, 39.14459297845502)	(9, 39.11871414010697)	(10, 39.11726853752988)	(15, 39.34602287507382)	(20, 39.3877949979795)	(25, 39.16745234632292)	(30, 39.13760284539611)	(35, 39.22411829858663)	(40, 39.186541466183925)	(45, 39.126301426788146)	(50, 39.1604586139819)	(55, 39.157925373793624)	(60, 39.130409352898155)	(65, 39.12954274392907)	(70, 39.077544896954194)	(75, 39.07984532903164)	(80, 39.01305574142757)	(85, 38.979241467656365)	(90, 38.95228366269491)	(95, 38.91232672319721)	(100, 38.85729664465106)	(105, 38.825606601737796)	(110, 38.76292085015044)	(115, 38.74768361655866)	(120, 38.731291504221794)	(125, 38.66767861028446)	(130, 38.639338517390264)	(135, 38.61561466740179)	(140, 38.57171651399712)	(145, 38.50334062460633)	(150, 38.51640372820185)
STC-55-3_R2_001	(1, 37.22056646156212)	(2, 38.30778279314108)	(3, 38.41318531558342)	(4, 38.52361210863942)	(5, 38.51546464277943)	(6, 38.543180751039294)	(7, 38.547539154463195)	(8, 38.495953261685806)	(9, 38.51821727557249)	(10, 38.572602264602864)	(15, 38.626797800511426)	(20, 38.668627348327064)	(25, 38.12976933509807)	(30, 37.94113864925486)	(35, 37.9325982072303)	(40, 37.89979762218336)	(45, 37.88626448506544)	(50, 37.84321019971108)	(55, 37.768087292407316)	(60, 37.74173171278384)	(65, 37.68747188060854)	(70, 37.57374863595388)	(75, 37.47621299897094)	(80, 37.3857296644651)	(85, 37.369995729942595)	(90, 37.31453520997721)	(95, 37.219479478365855)	(100, 37.10339281419688)	(105, 37.02715936475943)	(110, 36.917880251884306)	(115, 36.88064976858252)	(120, 36.83262405661998)	(125, 36.741332356073706)	(130, 36.683362809272396)	(135, 36.559988580459496)	(140, 36.511948798576)	(145, 36.428246020748226)	(150, 36.24259406805588)
STC-CTRL_R1_001	(1, 38.967889306992966)	(2, 39.40599718384497)	(3, 39.4089055980504)	(4, 39.3170919683326)	(5, 39.25439848424928)	(6, 39.207191040059044)	(7, 39.20644059043621)	(8, 39.17677814087639)	(9, 39.153654841553305)	(10, 39.151929369976735)	(15, 39.357066405790725)	(20, 39.39036521694127)	(25, 39.171447585819315)	(30, 39.144445238273384)	(35, 39.226148612652665)	(40, 39.1822561981007)	(45, 39.120860530569004)	(50, 39.15611208589554)	(55, 39.15108778629175)	(60, 39.12344344990805)	(65, 39.12307385065602)	(70, 39.0720431637921)	(75, 39.06994010466916)	(80, 39.00674054526297)	(85, 38.972984488645096)	(90, 38.94314843432244)	(95, 38.903046409177314)	(100, 38.84640175157417)	(105, 38.811154134139215)	(110, 38.7496828590893)	(115, 38.73429324128418)	(120, 38.72319468767175)	(125, 38.6597202634337)	(130, 38.627189003606546)	(135, 38.602049278775155)	(140, 38.561107357612876)	(145, 38.49301041122276)	(150, 38.50179764750357)
STC-CTRL_R2_001	(1, 37.24385562339355)	(2, 38.21678543160135)	(3, 38.36288627200367)	(4, 38.48257004805915)	(5, 38.466687968784896)	(6, 38.498208540611756)	(7, 38.514108621676066)	(8, 38.47507849061741)	(9, 38.49137348595101)	(10, 38.55935713357497)	(15, 38.620641977586644)	(20, 38.670372260141626)	(25, 38.12617274630246)	(30, 37.93525959987647)	(35, 37.928785481106274)	(40, 37.89421371837662)	(45, 37.88259480052048)	(50, 37.84038116540213)	(55, 37.76598876800812)	(60, 37.736607821440245)	(65, 37.684788656171996)	(70, 37.57106403518)	(75, 37.47195968049072)	(80, 37.38009013271257)	(85, 37.369559310553946)	(90, 37.31527660031694)	(95, 37.21684157468409)	(100, 37.10347035133306)	(105, 37.02900425911101)	(110, 36.91540205029138)	(115, 36.882978013626236)	(120, 36.83189410897046)	(125, 36.743726516805516)	(130, 36.6815137930278)	(135, 36.55992036458126)	(140, 36.518375946008135)	(145, 36.43516053377557)	(150, 36.23437824348659)
WT-37-55-1_R1_001	(1, 38.912526316730435)	(2, 39.36582928781026)	(3, 39.369081156674724)	(4, 39.26894266586369)	(5, 39.19926619403877)	(6, 39.14007304289441)	(7, 39.139493652697624)	(8, 39.1061989122694)	(9, 39.076769201073894)	(10, 39.07880309242068)	(15, 39.30849336366469)	(20, 39.34930719831069)	(25, 39.11220007038763)	(30, 39.08026540706134)	(35, 39.16509448860869)	(40, 39.124527639726566)	(45, 39.06429741323797)	(50, 39.09779358280662)	(55, 39.09222746395614)	(60, 39.06447156137712)	(65, 39.06026432774017)	(70, 39.00870164616343)	(75, 39.007514392880196)	(80, 38.938459689506445)	(85, 38.903443067629404)	(90, 38.87523543934497)	(95, 38.833151978683745)	(100, 38.774213229497775)	(105, 38.73597652244707)	(110, 38.67326147349853)	(115, 38.656952202295244)	(120, 38.6395765882658)	(125, 38.573301765948216)	(130, 38.53663530565482)	(135, 38.51429931694862)	(140, 38.46751134032156)	(145, 38.396343948534266)	(150, 38.4109359734103)
WT-37-55-1_R2_001	(1, 36.6302441020561)	(2, 37.89467017302578)	(3, 38.07618020955385)	(4, 38.21504183031681)	(5, 38.20903140195543)	(6, 38.240439647902924)	(7, 38.257384990218235)	(8, 38.212095879476244)	(9, 38.236767969455876)	(10, 38.3155099444878)	(15, 38.37277713640203)	(20, 38.42334763709779)	(25, 37.74239239151415)	(30, 37.515316593702124)	(35, 37.504880153965495)	(40, 37.47513763827975)	(45, 37.45720541236524)	(50, 37.41432087026394)	(55, 37.33431231515384)	(60, 37.3014344708032)	(65, 37.24601073295509)	(70, 37.12631533990174)	(75, 37.01753632031604)	(80, 36.91976664149354)	(85, 36.894633025837166)	(90, 36.83371203380195)	(95, 36.727234285861854)	(100, 36.601155403376424)	(105, 36.51507589846038)	(110, 36.3956280208991)	(115, 36.34888705764801)	(120, 36.29354317632301)	(125, 36.1971522475208)	(130, 36.13270935768141)	(135, 36.007259924705764)	(140, 35.95278744623673)	(145, 35.86271736650933)	(150, 35.66536938442606)
WT-37-55-2_R1_001	(1, 38.92397486917985)	(2, 39.38393563451376)	(3, 39.385953504038014)	(4, 39.298188013855025)	(5, 39.22568247229981)	(6, 39.175304311413406)	(7, 39.1755416007319)	(8, 39.14189870901866)	(9, 39.11397503607132)	(10, 39.11451370103064)	(15, 39.3296195633209)	(20, 39.36542718904706)	(25, 39.13021230111468)	(30, 39.10147783908932)	(35, 39.18279015218984)	(40, 39.13712986128285)	(45, 39.07187578420023)	(50, 39.107181764528285)	(55, 39.10132272105913)	(60, 39.07369617560623)	(65, 39.071268784772215)	(70, 39.016481047957015)	(75, 39.01459147245305)	(80, 38.9441028294172)	(85, 38.90901884508072)	(90, 38.87911844894107)	(95, 38.83668395763384)	(100, 38.77504262559721)	(105, 38.740023334461114)	(110, 38.67303455715349)	(115, 38.65751037382171)	(120, 38.63893929854)	(125, 38.57332279388449)	(130, 38.53723054235174)	(135, 38.5109073282042)	(140, 38.46585075958374)	(145, 38.39179476598024)	(150, 38.40289359455387)
WT-37-55-2_R2_001	(1, 36.22309383396727)	(2, 37.570101545870116)	(3, 37.7341995506068)	(4, 37.90380315303492)	(5, 37.914411988269045)	(6, 37.952645305570684)	(7, 37.970282395529736)	(8, 37.92907476889325)	(9, 37.94903620179302)	(10, 38.042910040949096)	(15, 38.11179361291194)	(20, 38.16736774230744)	(25, 37.33614872153552)	(30, 37.06935772578519)	(35, 37.05836582912438)	(40, 37.02227248521113)	(45, 37.00690087102173)	(50, 36.95662260226274)	(55, 36.873092514007496)	(60, 36.837981948412335)	(65, 36.77483555880573)	(70, 36.64718203762341)	(75, 36.53184741265129)	(80, 36.427426518446815)	(85, 36.389548224805836)	(90, 36.319703843510425)	(95, 36.2027282202846)	(100, 36.071920025610254)	(105, 35.97153741934211)	(110, 35.83660961507242)	(115, 35.77305904468292)	(120, 35.71190843423945)	(125, 35.60496074257598)	(130, 35.53556860680523)	(135, 35.39603399123972)	(140, 35.334619874345904)	(145, 35.2359527909563)	(150, 35.0312593781624)
WT-37-55-3_R1_001	(1, 38.89714537778912)	(2, 39.35910369616157)	(3, 39.36053722896211)	(4, 39.26067071568481)	(5, 39.18948977692426)	(6, 39.13210099692916)	(7, 39.128789088604734)	(8, 39.09714422499548)	(9, 39.069871839862046)	(10, 39.066399761032656)	(15, 39.30411272694353)	(20, 39.34711938907361)	(25, 39.1058262529765)	(30, 39.0734761509034)	(35, 39.15802569848275)	(40, 39.123362143002694)	(45, 39.0630397066208)	(50, 39.09599658501836)	(55, 39.09148265198144)	(60, 39.067402284633566)	(65, 39.06592955684918)	(70, 39.01436360535534)	(75, 39.01388078825317)	(80, 38.945806967416964)	(85, 38.913135846220044)	(90, 38.884225951622675)	(95, 38.84216742835811)	(100, 38.78430369738217)	(105, 38.74857441808503)	(110, 38.688182814084556)	(115, 38.670463697680546)	(120, 38.65199702850486)	(125, 38.58851295384044)	(130, 38.55459098372967)	(135, 38.52971003510256)	(140, 38.48622164085257)	(145, 38.414219777395544)	(150, 38.4255836102581)
WT-37-55-3_R2_001	(1, 36.77261857415023)	(2, 37.96102201259461)	(3, 38.12304580286483)	(4, 38.27404888590971)	(5, 38.28124231824089)	(6, 38.3281189764413)	(7, 38.34623546759514)	(8, 38.31610551045533)	(9, 38.34823115682503)	(10, 38.406219796382736)	(15, 38.470834015685455)	(20, 38.509183933989675)	(25, 37.86594732343355)	(30, 37.64790196642862)	(35, 37.63967847907188)	(40, 37.61324071653584)	(45, 37.594941948363655)	(50, 37.54666661241755)	(55, 37.47220319547616)	(60, 37.4400677842662)	(65, 37.38188818783213)	(70, 37.265403679513874)	(75, 37.16273886138572)	(80, 37.068341336772725)	(85, 37.04371617271154)	(90, 36.98555759780861)	(95, 36.882337404390185)	(100, 36.76120740893693)	(105, 36.6766239556622)	(110, 36.557421566802525)	(115, 36.51311387532944)	(120, 36.458956850594895)	(125, 36.36553567438598)	(130, 36.30619270573213)	(135, 36.17746783451444)	(140, 36.1229660566693)	(145, 36.032645624114004)	(150, 35.83772666381181)
WT-CTRL_R1_001	(1, 38.88277238722673)	(2, 39.35939162915778)	(3, 39.368355475259705)	(4, 39.2792439557473)	(5, 39.20252075318891)	(6, 39.14828017194387)	(7, 39.14158113601321)	(8, 39.11078880288235)	(9, 39.084640304016695)	(10, 39.0803840183573)	(15, 39.31452061301727)	(20, 39.35705725232451)	(25, 39.12802952429901)	(30, 39.09556992747416)	(35, 39.18112900462567)	(40, 39.146255989741505)	(45, 39.08335319098125)	(50, 39.11986257988485)	(55, 39.11547975039066)	(60, 39.09228718571703)	(65, 39.0901921389672)	(70, 39.03848580892011)	(75, 39.0390132695812)	(80, 38.971561511984675)	(85, 38.93793836082254)	(90, 38.91233315682091)	(95, 38.86892823212422)	(100, 38.81036465390586)	(105, 38.77966486001007)	(110, 38.72079043821805)	(115, 38.699579485102866)	(120, 38.68321587469695)	(125, 38.62192920294257)	(130, 38.58715885080027)	(135, 38.56140283250528)	(140, 38.51683500241407)	(145, 38.44729689390046)	(150, 38.464511917184524)
WT-CTRL_R2_001	(1, 36.06013298134679)	(2, 36.30944250626879)	(3, 36.54082369004418)	(4, 36.68467158305688)	(5, 36.715833813550965)	(6, 36.76195287637381)	(7, 36.80620493092653)	(8, 36.7792608282586)	(9, 36.83281872173854)	(10, 36.940186038905416)	(15, 37.02175074368838)	(20, 37.08852150077094)	(25, 35.50907040250025)	(30, 35.039735542853585)	(35, 35.01263270879083)	(40, 34.974790651071274)	(45, 34.932055045919185)	(50, 34.878509612139894)	(55, 34.78350867766235)	(60, 34.73450104090416)	(65, 34.649449826342924)	(70, 34.50859031465936)	(75, 34.36962688388078)	(80, 34.24770975127323)	(85, 34.17611657088271)	(90, 34.071757233115804)	(95, 33.932697499234244)	(100, 33.768116794119024)	(105, 33.6401223127281)	(110, 33.49143317706792)	(115, 33.404868757819756)	(120, 33.315160081195714)	(125, 33.19155803365158)	(130, 33.10532444541353)	(135, 32.953912346005886)	(140, 32.87301358626525)	(145, 32.75919175479309)	(150, 32.55988897887561)
WTA-55-1_R1_001	(1, 38.74815613441177)	(2, 39.28781577168751)	(3, 39.29612207743422)	(4, 39.19565073998648)	(5, 39.11511962387656)	(6, 39.05132653317775)	(7, 39.05138154966051)	(8, 39.01097283043536)	(9, 38.98392956707056)	(10, 38.97832829755043)	(15, 39.235218594388016)	(20, 39.28588629039533)	(25, 39.019544161819454)	(30, 38.98097488615877)	(35, 39.06852468568876)	(40, 39.028639983672534)	(45, 38.969110611230164)	(50, 39.004440421733875)	(55, 38.99785548116499)	(60, 38.97215260862428)	(65, 38.97015876396302)	(70, 38.91322486804179)	(75, 38.91187820652182)	(80, 38.8382426078996)	(85, 38.80210943843256)	(90, 38.77038066377683)	(95, 38.72493669407139)	(100, 38.66204741178507)	(105, 38.62466945002743)	(110, 38.557033842531595)	(115, 38.53670980727962)	(120, 38.516859505354496)	(125, 38.446551516576676)	(130, 38.40736061381831)	(135, 38.38249470170565)	(140, 38.33550317158192)	(145, 38.25769341917088)	(150, 38.27480496508968)
WTA-55-1_R2_001	(1, 35.95042009225613)	(2, 37.39977490568075)	(3, 37.41910166365703)	(4, 37.54174405208227)	(5, 37.56196290528439)	(6, 37.62135349421218)	(7, 37.664053975310615)	(8, 37.628274331113445)	(9, 37.649804114700494)	(10, 37.736026656373255)	(15, 37.800899844859444)	(20, 37.857774701587346)	(25, 36.83233147135076)	(30, 36.508940799602456)	(35, 36.491513707534146)	(40, 36.44954323008869)	(45, 36.4324387830709)	(50, 36.38311443576308)	(55, 36.29496631719369)	(60, 36.25441857782393)	(65, 36.18853841023069)	(70, 36.04517847080798)	(75, 35.92139221280139)	(80, 35.81083392860576)	(85, 35.76019521977754)	(90, 35.67699929454672)	(95, 35.5499066050837)	(100, 35.400589622885676)	(105, 35.285756853767076)	(110, 35.143078763785546)	(115, 35.07048918822588)	(120, 34.99633063722989)	(125, 34.88393006990938)	(130, 34.80501253399708)	(135, 34.65562314300884)	(140, 34.58479965570331)	(145, 34.478816376573036)	(150, 34.27659507129219)
WTA-55-2_R1_001	(1, 38.89493089694834)	(2, 39.356846701207154)	(3, 39.36128373991281)	(4, 39.26550479017319)	(5, 39.190493195701436)	(6, 39.137678720500354)	(7, 39.13527369578756)	(8, 39.10644520121377)	(9, 39.077329826281684)	(10, 39.07172963016948)	(15, 39.30158718380219)	(20, 39.34479361840275)	(25, 39.10496614414247)	(30, 39.072386473557984)	(35, 39.157257079253185)	(40, 39.115712430598805)	(45, 39.05607417811759)	(50, 39.08963666238223)	(55, 39.083146540872164)	(60, 39.05533120436748)	(65, 39.053824718088705)	(70, 38.999835822279934)	(75, 38.999503624100605)	(80, 38.92697245153511)	(85, 38.89373090224867)	(90, 38.86359375621132)	(95, 38.824400333920785)	(100, 38.762376932964074)	(105, 38.72587833092611)	(110, 38.661723932314786)	(115, 38.645668702876755)	(120, 38.62793181125525)	(125, 38.564948653053655)	(130, 38.525509957994885)	(135, 38.500168417984014)	(140, 38.45643393801264)	(145, 38.38155564683901)	(150, 38.39390197039766)
