Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CAS-55-1_R1_001	(1, 39.02731969299291)	(2, 39.42937405722918)	(3, 39.43191234590883)	(4, 39.33613807820967)	(5, 39.27081349446326)	(6, 39.2244416400618)	(7, 39.21989188963628)	(8, 39.19470069481822)	(9, 39.165886260803454)	(10, 39.17137960521232)	(15, 39.38191986036479)	(20, 39.41895331615712)	(25, 39.21011377310124)	(30, 39.1854155005133)	(35, 39.269791658856086)	(40, 39.23027403150725)	(45, 39.1702564467023)	(50, 39.20780747083625)	(55, 39.20499364123803)	(60, 39.17984456649414)	(65, 39.18017005164925)	(70, 39.133294973203874)	(75, 39.13375268670326)	(80, 39.06886729927193)	(85, 39.04073747946565)	(90, 39.01641802673973)	(95, 38.97953675090573)	(100, 38.92565435263043)	(105, 38.89636107987785)	(110, 38.83644951247318)	(115, 38.824937822359566)	(120, 38.81154533401186)	(125, 38.75381423026053)	(130, 38.72075127607199)	(135, 38.701292193018176)	(140, 38.65764653759625)	(145, 38.59248991253564)	(150, 38.60133578012278)
CAS-55-1_R2_001	(1, 37.5844932925738)	(2, 38.56622615545763)	(3, 38.625897781882564)	(4, 38.739682619373085)	(5, 38.73130359347478)	(6, 38.75411233084731)	(7, 38.757508669334925)	(8, 38.71036548292523)	(9, 38.72652172623191)	(10, 38.77961949142293)	(15, 38.83260667511894)	(20, 38.869519899615995)	(25, 38.44390593922386)	(30, 38.283616106168665)	(35, 38.27653328317176)	(40, 38.24754945604141)	(45, 38.23732705748576)	(50, 38.19943203101237)	(55, 38.13266649736049)	(60, 38.10834691423186)	(65, 38.06480049526948)	(70, 37.96352271175036)	(75, 37.87685876832687)	(80, 37.792637267593854)	(85, 37.79100449530729)	(90, 37.747327021625004)	(95, 37.66071445686784)	(100, 37.56439966995075)	(105, 37.49709218265116)	(110, 37.397862243233)	(115, 37.36641354414669)	(120, 37.32137570943147)	(125, 37.24618081443662)	(130, 37.19441732973726)	(135, 37.07463735822374)	(140, 37.03838162417223)	(145, 36.958039734356646)	(150, 36.766744441014126)
CAS-55-2_R1_001	(1, 38.88122157592961)	(2, 39.346615379809016)	(3, 39.346489139159914)	(4, 39.24610231995884)	(5, 39.171766342585244)	(6, 39.11060784872545)	(7, 39.104169575621015)	(8, 39.074664968156114)	(9, 39.0453395204003)	(10, 39.043487480816836)	(15, 39.29120478847359)	(20, 39.3359174411658)	(25, 39.08710757807315)	(30, 39.05306200519882)	(35, 39.139872853988656)	(40, 39.10133285897452)	(45, 39.03955973892413)	(50, 39.07412442864948)	(55, 39.06910387628927)	(60, 39.04184520473619)	(65, 39.03859533687445)	(70, 38.985499029923496)	(75, 38.98565842468247)	(80, 38.915796084372104)	(85, 38.88051909134786)	(90, 38.84980627160995)	(95, 38.80720630081107)	(100, 38.74693072640018)	(105, 38.711064865378376)	(110, 38.643081598002595)	(115, 38.6290356043261)	(120, 38.60969043625071)	(125, 38.545783976746215)	(130, 38.506782884573326)	(135, 38.48222117234208)	(140, 38.43298119843181)	(145, 38.36292375893647)	(150, 38.376670217981896)
CAS-55-2_R2_001	(1, 37.19460251091376)	(2, 38.24639305599921)	(3, 38.36581415973777)	(4, 38.49332932933699)	(5, 38.46943159191371)	(6, 38.50522017835636)	(7, 38.52068338271383)	(8, 38.46066743048635)	(9, 38.486472166805974)	(10, 38.55558675442304)	(15, 38.6015258541487)	(20, 38.64447088272179)	(25, 38.09407873973577)	(30, 37.89739121785884)	(35, 37.885445537042386)	(40, 37.844516023317546)	(45, 37.83162136986407)	(50, 37.78608164964649)	(55, 37.70373143130755)	(60, 37.67247756199978)	(65, 37.6207876268862)	(70, 37.50706329183331)	(75, 37.40540067698142)	(80, 37.31361492649033)	(85, 37.294345375288586)	(90, 37.232348337480786)	(95, 37.135960669024435)	(100, 37.01167254195748)	(105, 36.93351313062145)	(110, 36.81390598132021)	(115, 36.77188340209623)	(120, 36.71444556445829)	(125, 36.62260128421169)	(130, 36.55919417660812)	(135, 36.43220041914446)	(140, 36.3789068452398)	(145, 36.28708309503817)	(150, 36.0961061135541)
CAS-55-3_R1_001	(1, 38.86502986812394)	(2, 39.342904756693585)	(3, 39.34407863971225)	(4, 39.25224058099662)	(5, 39.17300405779197)	(6, 39.120860313436054)	(7, 39.111936596383664)	(8, 39.08316252909671)	(9, 39.051065943255935)	(10, 39.05043766620212)	(15, 39.28679628340044)	(20, 39.32946617640698)	(25, 39.079121747402084)	(30, 39.04486909491704)	(35, 39.129848936582164)	(40, 39.09053326045428)	(45, 39.02831060991118)	(50, 39.06337534328967)	(55, 39.05847928737985)	(60, 39.0312392796817)	(65, 39.02979915395662)	(70, 38.97591548506709)	(75, 38.97585568786091)	(80, 38.90529672621907)	(85, 38.870271586718864)	(90, 38.84004206704428)	(95, 38.79697600303282)	(100, 38.73319723179574)	(105, 38.69741214527702)	(110, 38.63177211342776)	(115, 38.6152519450783)	(120, 38.596083515216506)	(125, 38.530126964563195)	(130, 38.491301973859336)	(135, 38.46607184895574)	(140, 38.424251076277145)	(145, 38.34725271025032)	(150, 38.362154522366914)
CAS-55-3_R2_001	(1, 36.48415185355374)	(2, 37.76278506358678)	(3, 37.90361154805968)	(4, 38.03248265518173)	(5, 38.045031940706714)	(6, 38.08077789779148)	(7, 38.09856785691167)	(8, 38.05629587657624)	(9, 38.0833009915596)	(10, 38.15766038496048)	(15, 38.221022317420406)	(20, 38.27173301882713)	(25, 37.49041749770753)	(30, 37.23592244592635)	(35, 37.22622032019372)	(40, 37.19213208099793)	(45, 37.17773558430143)	(50, 37.130643716924666)	(55, 37.04781703912682)	(60, 37.01277065129898)	(65, 36.94770293096296)	(70, 36.82578734197645)	(75, 36.71491240725264)	(80, 36.61093783790138)	(85, 36.5790942581039)	(90, 36.50572540832638)	(95, 36.39271077862058)	(100, 36.26148006213104)	(105, 36.167730931149904)	(110, 36.040618790778574)	(115, 35.98656118749123)	(120, 35.92639428361931)	(125, 35.81953981115113)	(130, 35.75400044760822)	(135, 35.616813232715344)	(140, 35.563208927084276)	(145, 35.468143793122564)	(150, 35.26546389134093)
CAS-CTRL_R1_001	(1, 38.96379287806262)	(2, 39.3964209525028)	(3, 39.399077146441115)	(4, 39.301824846955945)	(5, 39.23617207686552)	(6, 39.183111612991155)	(7, 39.17993753076874)	(8, 39.14790744763404)	(9, 39.115218183385856)	(10, 39.11731220986992)	(15, 39.3370276772627)	(20, 39.3765617446883)	(25, 39.14969597009487)	(30, 39.11823728851273)	(35, 39.20134183686241)	(40, 39.16331125864654)	(45, 39.10191696543054)	(50, 39.13824913708464)	(55, 39.1304275220631)	(60, 39.10543437810295)	(65, 39.102809557848005)	(70, 39.05045900700067)	(75, 39.05372921284875)	(80, 38.98329206729766)	(85, 38.95348017033017)	(90, 38.925447672979416)	(95, 38.88523295238043)	(100, 38.82689403315931)	(105, 38.79561892100118)	(110, 38.73284596578377)	(115, 38.715597226432884)	(120, 38.69991639247142)	(125, 38.63936507230132)	(130, 38.60604455174293)	(135, 38.58107087726715)	(140, 38.53850891563316)	(145, 38.46843067611957)	(150, 38.48345288523851)
CAS-CTRL_R2_001	(1, 37.02619313172219)	(2, 38.18688368651905)	(3, 38.32235792143785)	(4, 38.432360508097915)	(5, 38.41095631325844)	(6, 38.443406380984435)	(7, 38.45429927935094)	(8, 38.41279645766639)	(9, 38.43370278997711)	(10, 38.490799444841564)	(15, 38.54665583792489)	(20, 38.589589499828946)	(25, 38.00976366827336)	(30, 37.81030603248066)	(35, 37.801465885291364)	(40, 37.77489526808089)	(45, 37.75979662732904)	(50, 37.71505386093782)	(55, 37.64081237814189)	(60, 37.609910301304176)	(65, 37.557604252135384)	(70, 37.44480262114887)	(75, 37.34602068771782)	(80, 37.25326027641105)	(85, 37.23974456036514)	(90, 37.18080809485533)	(95, 37.083801778398325)	(100, 36.9692234178958)	(105, 36.89521746023358)	(110, 36.7835391628678)	(115, 36.742064265986535)	(120, 36.69306602658419)	(125, 36.60446997110172)	(130, 36.544228827631095)	(135, 36.420677704937184)	(140, 36.3767211719517)	(145, 36.289405763523646)	(150, 36.10884721183077)
STC-55-1_R1_001	(1, 38.90771962883301)	(2, 39.37931432042596)	(3, 39.37696632347563)	(4, 39.288307123951675)	(5, 39.2122829745427)	(6, 39.15285658499092)	(7, 39.15519714372493)	(8, 39.11720025537876)	(9, 39.08782549944523)	(10, 39.08501707690496)	(15, 39.31433096343497)	(20, 39.354592044827655)	(25, 39.12074642500728)	(30, 39.087689999938014)	(35, 39.175763315956836)	(40, 39.133512387729425)	(45, 39.07035374917095)	(50, 39.10660959901816)	(55, 39.10081597232983)	(60, 39.07318808149806)	(65, 39.07022345641515)	(70, 39.017293604993526)	(75, 39.015606865473664)	(80, 38.94698944393134)	(85, 38.91034817050871)	(90, 38.87973123245045)	(95, 38.836590445611144)	(100, 38.77846351244971)	(105, 38.74220134011864)	(110, 38.67805341879017)	(115, 38.659920287115156)	(120, 38.63972156276925)	(125, 38.57561876661977)	(130, 38.53850851365842)	(135, 38.51656738714056)	(140, 38.467162878341775)	(145, 38.39361565496594)	(150, 38.40969571496755)
STC-55-1_R2_001	(1, 36.088382745817555)	(2, 37.43845247909551)	(3, 37.48387332717614)	(4, 37.62064538923566)	(5, 37.64267428670605)	(6, 37.70686981261893)	(7, 37.73903142026542)	(8, 37.699419199276015)	(9, 37.731953337589644)	(10, 37.817519230888436)	(15, 37.88953529743567)	(20, 37.938104122631394)	(25, 36.917788866229884)	(30, 36.60232059952024)	(35, 36.600067563798206)	(40, 36.565371383942136)	(45, 36.540108226047394)	(50, 36.489397194552744)	(55, 36.40338128916686)	(60, 36.36241543677826)	(65, 36.29622770859548)	(70, 36.16135821829925)	(75, 36.04166020988167)	(80, 35.93574422453496)	(85, 35.89041734592045)	(90, 35.80834518282516)	(95, 35.692565502792434)	(100, 35.54494331459316)	(105, 35.43899856814336)	(110, 35.3071446547118)	(115, 35.24185893422757)	(120, 35.17672879643462)	(125, 35.06449764146558)	(130, 34.995816499203485)	(135, 34.85492949190784)	(140, 34.78960422490687)	(145, 34.68515431199599)	(150, 34.488553204941454)
