Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
STC-55-2_R1_001	(1, 0.00015665058491761902)	(2, 0.07801199128897428)	(3, 0.0005952722226869523)	(4, 0.0400085593879599)	(5, 0.03399317692712333)	(6, 0.0002819710528517142)	(7, 0.0)	(8, 0.0)	(9, 0.03098548569670504)	(10, 0.012018232874879731)	(15, 0.08657137924887298)	(20, 0.14272121490674436)	(25, 0.18765486868451417)	(30, 0.11811454102788474)	(35, 0.0007205926906210475)	(40, 0.11377845283736505)	(45, 0.2303515521096604)	(50, 0.0955443247529542)	(55, 0.05312334635726296)	(60, 0.07288011812707308)	(65, 0.02305896609987352)	(70, 0.047126761966616505)	(75, 0.0007456567842078665)	(80, 0.05509714372722496)	(85, 0.07554317807067261)	(90, 0.03503333681097632)	(95, 0.031248658679366645)	(100, 0.07112563157599575)	(105, 0.07035491069820106)	(110, 0.12652981044965925)	(115, 0.08535577070991225)	(120, 0.019938486448314547)	(125, 0.027044156980177748)	(130, 0.031919123182814056)	(135, 0.0009023073691254857)	(140, 0.015113648432851885)	(145, 0.04256509693381544)	(150, 0.0)
STC-55-2_R2_001	(1, 0.07616351438694638)	(2, 0.16962125334879788)	(3, 0.1422700612221816)	(4, 0.006861295619391713)	(5, 0.001315864913308)	(6, 0.00222443830583019)	(7, 0.0008145830415716189)	(8, 0.1789889583268715)	(9, 0.14433784894309418)	(10, 0.10117121376319507)	(15, 0.050936504191813003)	(20, 0.049081761266388385)	(25, 0.015132446503041998)	(30, 0.059997174023448084)	(35, 0.04781602454025403)	(40, 0.04453889430377744)	(45, 0.01099060503782015)	(50, 0.01991342235472773)	(55, 0.07026718637064719)	(60, 0.016485907556730225)	(65, 0.020684143232522417)	(70, 0.09412820346529892)	(75, 0.1410983148469978)	(80, 0.2003122359458578)	(85, 0.06457763712643927)	(90, 0.01845343890329552)	(95, 0.04683852489036809)	(100, 0.07726633450476642)	(105, 0.05910113267771931)	(110, 0.12435550033100269)	(115, 0.03286529271571647)	(120, 0.015527205977034397)	(125, 0.00034463128681876186)	(130, 0.013741389308973541)	(135, 0.11820226535543862)	(140, 0.07383881970676891)	(145, 0.11421707447513438)	(150, 0.4359585778257337)
STC-55-3_R1_001	(1, 0.0)	(2, 0.07730276343063938)	(3, 0.0008589195936737709)	(4, 0.03762885838951758)	(5, 0.0360337220012663)	(6, 0.00040900933032084327)	(7, 0.0)	(8, 0.0)	(9, 0.031411916568640764)	(10, 0.012221198789986797)	(15, 0.08706990623870112)	(20, 0.14721881835568432)	(25, 0.19189081741332684)	(30, 0.12486236836034705)	(35, 0.00054807250262993)	(40, 0.11677216380660076)	(45, 0.2342151029149277)	(50, 0.09886573532515423)	(55, 0.05582159340218869)	(60, 0.07621479861198593)	(65, 0.023002684737244226)	(70, 0.05065171546693323)	(75, 0.000728036607971101)	(80, 0.058561955915338346)	(85, 0.07888153944567783)	(90, 0.0369580830877914)	(95, 0.03025033007052957)	(100, 0.07200200250968125)	(105, 0.07090585750442138)	(110, 0.13204457220078106)	(115, 0.08784702396631072)	(120, 0.021276665363290266)	(125, 0.027861715581455847)	(130, 0.03386597255056582)	(135, 0.0006544149285133492)	(140, 0.015705958284320382)	(145, 0.04332226826758372)	(150, 0.0)
STC-55-3_R2_001	(1, 0.07578942890845225)	(2, 0.17391076725242258)	(3, 0.15121074941961576)	(4, 0.0068713567493901674)	(5, 0.0017996410534117102)	(6, 0.0026176597140533968)	(7, 0.0006544149285133492)	(8, 0.18225455759096776)	(9, 0.15620066324953003)	(10, 0.10113982720173813)	(15, 0.0542755381335759)	(20, 0.04962919214113112)	(25, 0.016499436385142816)	(30, 0.05963356036077895)	(35, 0.050717156959784564)	(40, 0.04751052381006916)	(45, 0.01203305449803921)	(50, 0.021047620138310595)	(55, 0.07457876129070257)	(60, 0.01620494966731181)	(65, 0.021260304990077434)	(70, 0.09763052714758529)	(75, 0.147153376862833)	(80, 0.2063288467736526)	(85, 0.06506520426743975)	(90, 0.01941158281702722)	(95, 0.04825492079125309)	(100, 0.0800267655705762)	(105, 0.058840082259956517)	(110, 0.1275045686342197)	(115, 0.03211541261679261)	(120, 0.016564877877994152)	(125, 0.0003599282106823421)	(130, 0.014454389733538603)	(135, 0.1180482729172018)	(140, 0.07890608000549709)	(145, 0.11803191254398895)	(150, 0.4370264694478211)
STC-CTRL_R1_001	(1, 8.438339087342999e-05)	(2, 0.0785328091062055)	(3, 0.0006750671269874399)	(4, 0.043541829690689864)	(5, 0.03375335634937199)	(6, 0.0005625559391561998)	(7, 0.0)	(8, 0.0)	(9, 0.03071555427792851)	(10, 0.01298379107572509)	(15, 0.09076840078285285)	(20, 0.1518844780127824)	(25, 0.20135002174278704)	(30, 0.12850465318145074)	(35, 0.00042191695436714986)	(40, 0.121180174853637)	(45, 0.24068393300858854)	(50, 0.102261418619814)	(55, 0.05599681818360813)	(60, 0.07814464550818773)	(65, 0.02576506201335395)	(70, 0.050849431340328904)	(75, 0.00046692142949964583)	(80, 0.05726256904670958)	(85, 0.07917974843623513)	(90, 0.038771355326645295)	(95, 0.03211631856642745)	(100, 0.0723278170973126)	(105, 0.07633884094349631)	(110, 0.13405145474153085)	(115, 0.0942393709274466)	(120, 0.02348108490037978)	(125, 0.02822343146746655)	(130, 0.03561541650797902)	(135, 0.0006581904488127538)	(140, 0.01784989994942622)	(145, 0.04516761635485129)	(150, 0.0)
STC-CTRL_R2_001	(1, 0.07394797820208246)	(2, 0.183562002946668)	(3, 0.1640694396549057)	(4, 0.008747744853878909)	(5, 0.0012094952691858298)	(6, 0.002475246132287279)	(7, 0.0011813674722280197)	(8, 0.18176182394136817)	(9, 0.1579094521211453)	(10, 0.10812887706521317)	(15, 0.05739758247210707)	(20, 0.05030375207934739)	(25, 0.01587532860298796)	(30, 0.06559964806500447)	(35, 0.0505681533707508)	(40, 0.048497947514655984)	(45, 0.011599903465400841)	(50, 0.020032616993352275)	(55, 0.07682826461056222)	(60, 0.016117227656825123)	(65, 0.02229971742815176)	(70, 0.10233455089190431)	(75, 0.14862165356567644)	(80, 0.21390627030475345)	(85, 0.065875300475191)	(90, 0.019965110280653533)	(95, 0.05015748753516677)	(100, 0.08437213975464684)	(105, 0.06526211450151075)	(110, 0.13230190577075507)	(115, 0.03540164525109966)	(120, 0.017264841772703775)	(125, 0.00034315912288528186)	(130, 0.01548153944557862)	(135, 0.12583813802985033)	(140, 0.07786899309800117)	(145, 0.1169610053099655)	(150, 0.4707749376828658)
WT-37-55-1_R1_001	(1, 6.621602248960988e-05)	(2, 0.07674437006545784)	(3, 0.0007614842586305136)	(4, 0.044927571259200307)	(5, 0.03333976732351857)	(6, 0.0004966201686720741)	(7, 0.0)	(8, 0.0)	(9, 0.03036004631148613)	(10, 0.011488479901947313)	(15, 0.08858379488660009)	(20, 0.1495488867927839)	(25, 0.19786009680120326)	(30, 0.12572436190102226)	(35, 0.0006952682361409038)	(40, 0.11834789699567974)	(45, 0.23756984548822233)	(50, 0.10179389137327727)	(55, 0.05658159121737164)	(60, 0.07626099310128369)	(65, 0.023572904006301115)	(70, 0.049251477527771835)	(75, 0.0007482410541325916)	(80, 0.05833631581334631)	(85, 0.07836004101420434)	(90, 0.03953758702854605)	(95, 0.030903017695900932)	(100, 0.07107627854034723)	(105, 0.0761418042608024)	(110, 0.13311407001086273)	(115, 0.09149067827389397)	(120, 0.022374393999239177)	(125, 0.027578973366922516)	(130, 0.03551165286117778)	(135, 0.0008939163036097333)	(140, 0.015183333956867546)	(145, 0.043258927492462136)	(150, 0.0)
WT-37-55-1_R2_001	(1, 0.07621464188554097)	(2, 0.17855150464323302)	(3, 0.1689501813822396)	(4, 0.008111462754977209)	(5, 0.0015891845397506372)	(6, 0.0024168848208707605)	(7, 0.0011918884048129777)	(8, 0.18388189445364664)	(9, 0.15653467716543776)	(10, 0.10464780194257946)	(15, 0.05860780150555371)	(20, 0.05011890742238572)	(25, 0.015170090752369622)	(30, 0.06407062336094652)	(35, 0.050602284386559865)	(40, 0.04715242961485119)	(45, 0.012753205931498863)	(50, 0.02070575023250101)	(55, 0.07456586292554969)	(60, 0.01738170590352259)	(65, 0.021745341785587884)	(70, 0.0988671431792365)	(75, 0.1489728073971243)	(80, 0.20942141432788913)	(85, 0.06694439873699559)	(90, 0.02013629243909036)	(95, 0.04831783161066833)	(100, 0.08024057605290924)	(105, 0.06216360191324575)	(110, 0.129677458443652)	(115, 0.033737063458456236)	(120, 0.0175671107664935)	(125, 0.0004304041461824642)	(130, 0.014620497765705861)	(135, 0.12259234403726373)	(140, 0.07965787505500069)	(145, 0.11875843633511532)	(150, 0.44417707886030305)
WT-37-55-2_R1_001	(1, 0.00012137561048139084)	(2, 0.0775893590002291)	(3, 0.0008496292733697359)	(4, 0.04412003440998557)	(5, 0.03698921729420386)	(6, 0.0005765341497866065)	(7, 0.0)	(8, 0.0)	(9, 0.03283210263521622)	(10, 0.01168847128935794)	(15, 0.09243359616210318)	(20, 0.15214432773842343)	(25, 0.20202363486575098)	(30, 0.12776603637323608)	(35, 0.0005097775640218415)	(40, 0.12113285926042805)	(45, 0.24433517267956384)	(50, 0.1023135708552884)	(55, 0.05738031985507752)	(60, 0.07894876583762067)	(65, 0.02264868891582753)	(70, 0.05129333298943577)	(75, 0.00046122731982928516)	(80, 0.059109922304437346)	(85, 0.08002900877090506)	(90, 0.03948955487012051)	(95, 0.03283210263521622)	(100, 0.07539852923104)	(105, 0.07747405217027177)	(110, 0.13691775740353293)	(115, 0.09449698154028684)	(120, 0.02304922843041612)	(125, 0.029184765540250426)	(130, 0.035739048506245534)	(135, 0.0007343224434124146)	(140, 0.015966961558826966)	(145, 0.04617128222712108)	(150, 0.0)
WT-37-55-2_R2_001	(1, 0.07364465165958389)	(2, 0.17842214740764453)	(3, 0.16795350100362458)	(4, 0.0079501024865311)	(5, 0.001668914644119124)	(6, 0.0030647341646551185)	(7, 0.0010013487864714743)	(8, 0.1869184401413419)	(9, 0.16585977172282057)	(10, 0.10823063186625621)	(15, 0.057447076440842286)	(20, 0.052901559828314196)	(25, 0.01627040058503044)	(30, 0.06443831160457039)	(35, 0.053071485682988154)	(40, 0.04821039248320844)	(45, 0.010808498113367855)	(50, 0.02081591719755853)	(55, 0.0764727033838003)	(60, 0.017035066931063207)	(65, 0.02307957233303647)	(70, 0.10253811573467898)	(75, 0.14882470479175738)	(80, 0.21708634812649158)	(85, 0.06539717892737339)	(90, 0.020209039145151573)	(95, 0.0517849042118854)	(100, 0.08073298731169712)	(105, 0.06203507451703886)	(110, 0.1339804676298833)	(115, 0.03487728167182766)	(120, 0.01787862742390887)	(125, 0.0004005395145885898)	(130, 0.014443697647285512)	(135, 0.12677682514781274)	(140, 0.08070264340907678)	(145, 0.11888134168599826)	(150, 0.4669623174245309)
WT-37-55-3_R1_001	(1, 0.00013562278150796935)	(2, 0.07445690704787518)	(3, 0.0008815480798018009)	(4, 0.04445036663923696)	(5, 0.03600784849036587)	(6, 0.00040686834452390805)	(7, 0.0)	(8, 0.0)	(9, 0.029972634713261233)	(10, 0.012334891978149813)	(15, 0.08867017454991037)	(20, 0.1474287446382381)	(25, 0.1934658978211183)	(30, 0.12618343591501469)	(35, 0.0006442082121628544)	(40, 0.11874452634930259)	(45, 0.23748905269860518)	(50, 0.10022523553438936)	(55, 0.05736165543879564)	(60, 0.07708120787005439)	(65, 0.024493474340339265)	(70, 0.05035673877390902)	(75, 0.0008001744108970193)	(80, 0.0571175344320813)	(85, 0.07848490365866187)	(90, 0.03957472764402546)	(95, 0.03199341415772997)	(100, 0.07326342657060506)	(105, 0.07645056193604233)	(110, 0.13288998246058378)	(115, 0.09161997004770871)	(120, 0.02203192085596962)	(125, 0.027707734262078138)	(130, 0.0358722257088579)	(135, 0.00075270643736923)	(140, 0.01632898289355951)	(145, 0.044538521447217136)	(150, 0.0)
WT-37-55-3_R2_001	(1, 0.07405003870335128)	(2, 0.1828534151681197)	(3, 0.1700031566202396)	(4, 0.00810346119510117)	(5, 0.0015257562919646552)	(6, 0.0025429271532744257)	(7, 0.0010510765566867626)	(8, 0.18719334417637473)	(9, 0.15928895688111)	(10, 0.10539924464891838)	(15, 0.056303797743033485)	(20, 0.04977356081342475)	(25, 0.015338936588551335)	(30, 0.06299678201045177)	(35, 0.05142137760874658)	(40, 0.04723063366015033)	(45, 0.011168536057181277)	(50, 0.01939405775563962)	(55, 0.07574532347220089)	(60, 0.016078080747769768)	(65, 0.021577584537917926)	(70, 0.10032017148144494)	(75, 0.14453319825304295)	(80, 0.2120462188877101)	(85, 0.06398004717638454)	(90, 0.01925165383505625)	(95, 0.04989562131678193)	(100, 0.08089220803042833)	(105, 0.06325446529531692)	(110, 0.13250345753328607)	(115, 0.03242740705855548)	(120, 0.01713593844353193)	(125, 0.0003661815100715173)	(130, 0.0141657995285074)	(135, 0.12189775601936287)	(140, 0.07914267414897552)	(145, 0.11746967220312766)	(150, 0.45043716308334325)
WT-CTRL_R1_001	(1, 6.489427424839452e-05)	(2, 0.0757640651850006)	(3, 0.0006489427424839452)	(4, 0.03290139704393602)	(5, 0.03497801381988465)	(6, 0.0002920242341177753)	(7, 0.0)	(8, 0.0)	(9, 0.028553480669293585)	(10, 0.011603096235612939)	(15, 0.08985910155175188)	(20, 0.15060014224824916)	(25, 0.19175609097658095)	(30, 0.1263296836793496)	(35, 0.0005191541939871562)	(40, 0.10889908161623083)	(45, 0.23575440891699245)	(50, 0.09897674708365131)	(55, 0.0552185379579589)	(60, 0.07513459072479117)	(65, 0.022985551938781337)	(70, 0.05137679692245394)	(75, 0.0006294744602094268)	(80, 0.05791165033926727)	(85, 0.07547853037830766)	(90, 0.033543850358995125)	(95, 0.03088318511481095)	(100, 0.07458947882110466)	(105, 0.07280488627927381)	(110, 0.12086558578763477)	(115, 0.08995644296312448)	(120, 0.016191121424974433)	(125, 0.024744186770912828)	(130, 0.030740417711464484)	(135, 0.0009150092669023628)	(140, 0.015918565473131176)	(145, 0.042655006463469716)	(150, 0.0)
WT-CTRL_R2_001	(1, 0.07031294614813546)	(2, 0.16427985525981073)	(3, 0.14497380867091333)	(4, 0.005223989076995759)	(5, 0.0015899097190856656)	(6, 0.002433535284314794)	(7, 0.0003244713712419726)	(8, 0.1883231838688409)	(9, 0.13215718950685543)	(10, 0.09734790080001661)	(15, 0.053148410609435114)	(20, 0.04998157002611346)	(25, 0.016522082223641245)	(30, 0.05767803095197304)	(35, 0.05011784800203509)	(40, 0.0415842509383712)	(45, 0.01537345356944466)	(50, 0.019922542194257115)	(55, 0.07762004142850468)	(60, 0.016359846538020258)	(65, 0.02096734000965627)	(70, 0.09830833605889286)	(75, 0.14956832328769967)	(80, 0.19975755499140802)	(85, 0.061805306794170935)	(90, 0.01892317037083184)	(95, 0.047872506113040635)	(100, 0.07947601767200876)	(105, 0.05735355958073107)	(110, 0.12667362333286608)	(115, 0.03306363272955701)	(120, 0.01644420909454317)	(125, 0.00027255595184325695)	(130, 0.016002928029654088)	(135, 0.12127441971539966)	(140, 0.07619885682246484)	(145, 0.1084318428416424)	(150, 0.438198586862284)
WTA-55-1_R1_001	(1, 0.0)	(2, 0.0776146509485167)	(3, 0.0006803113459664192)	(4, 0.04217930344991799)	(5, 0.03892564049094816)	(6, 0.0004732600667592482)	(7, 2.957875417245301e-05)	(8, 0.0)	(9, 0.028987179089003952)	(10, 0.01286084231418257)	(15, 0.09142201339621776)	(20, 0.14731402728048495)	(25, 0.19892895331141547)	(30, 0.12843686636762547)	(35, 0.0005738278309455884)	(40, 0.12063990676776686)	(45, 0.2411378355155059)	(50, 0.10227150042667352)	(55, 0.05651908347272321)	(60, 0.07753774618766832)	(65, 0.025408149834137132)	(70, 0.051484779512571716)	(75, 0.0005619963292766072)	(80, 0.05991472445172082)	(85, 0.08074999889079672)	(90, 0.03910311301598288)	(95, 0.03249521933385688)	(100, 0.0740888634511603)	(105, 0.07718280113759889)	(110, 0.1326902912176242)	(115, 0.09244543829058463)	(120, 0.021864615084277266)	(125, 0.028667728543941454)	(130, 0.03569564053531629)	(135, 0.0007158058509733629)	(140, 0.01710835141334682)	(145, 0.046136940758192205)	(150, 0.0)
