Scaffold,Start,End,Region_Size,Treatments,Treatment_Count,Avg_Enrichment,Max_Treatment,Max_Enrichment,Enrichment_Details
JRIU01000166.1,18000,19000,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000375.1,0,1000,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000149.1,1000,2000,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000149.1,500,1500,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000375.1,500,1500,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000195.1,16000,17000,1000,"WT-37, WTA",2,615.5360221616619,WTA,671.1675576923077,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 671.1675576923077, 'Q_Value': 0.0}}"
JRIU01000033.1,61500,62500,1000,"WTA, CAS",2,551.6966885792777,CAS,1028.8192040816325,"{'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 1028.8192040816325, 'Q_Value': 0.0}}"
JRIU01000033.1,62000,63000,1000,"WTA, CAS",2,551.6966885792777,CAS,1028.8192040816325,"{'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 1028.8192040816325, 'Q_Value': 0.0}}"
JRIU01000031.1,5000,6000,1000,"WT-37, WTA",2,354.5264163924311,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}}"
JRIU01000031.1,5500,6500,1000,"WT-37, WTA",2,354.5264163924311,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}}"
JRIU01000070.1,70000,71000,1000,"WT-37, WTA",2,354.3270202077335,WTA,522.0192115384616,"{'WT-37': {'Fold_Enrichment': 186.63482887700533, 'Q_Value': 5.300325621016011e-06}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}}"
JRIU01000243.1,500,1500,1000,"WTA, CAS",2,193.28408124018836,CAS,237.4198163265306,"{'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}, 'CAS': {'Fold_Enrichment': 237.4198163265306, 'Q_Value': 2.3870656744954624e-06}}"
JRIU01000095.1,32500,33500,1000,"WT-37, WTA",2,136.78578270259152,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}}"
JRIU01000147.1,0,1000,1000,"WT-37, WTA",2,136.78578270259152,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}}"
JRIU01000126.1,79500,80500,1000,"WT-37, WTA",2,136.78578270259152,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}}"
JRIU01000095.1,33000,34000,1000,"WT-37, WTA",2,136.78578270259152,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}}"
JRIU01000292.1,1500,2500,1000,"WTA, CAS",2,76.85705592621665,CAS,79.1399387755102,"{'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000072.1,15000,16000,1000,"WT-37, CAS",2,70.67577420058933,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000396.1,3000,4000,1000,"WT-37, CAS",2,70.67577420058933,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000254.1,500,1500,1000,"WT-37, CAS",2,70.67577420058933,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000254.1,0,1000,1000,"WT-37, CAS",2,70.67577420058933,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000052.1,43000,44000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000004.1,46500,47500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000004.1,46000,47000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000012.1,137500,138500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000012.1,137000,138000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000036.1,40500,41500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000037.1,161500,162500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000037.1,161000,162000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000052.1,42500,43500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000098.1,0,1000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000183.1,96500,97500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000183.1,96000,97000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000292.1,0,1000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000176.1,64500,65500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000176.1,65000,66000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000115.1,14500,15500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000115.1,14000,15000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000116.1,18000,19000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000116.1,17500,18500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000123.1,93500,94500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000123.1,93000,94000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000098.1,500,1500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000126.1,80000,81000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000154.1,500,1500,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000154.1,0,1000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
JRIU01000126.1,79000,80000,1000,"WT-37, WTA",2,68.39289135129576,WTA,74.57417307692307,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}}"
