Scaffold,Start,End,Region_Size,Treatments,Treatment_Count,Avg_Enrichment,Max_Treatment,Max_Enrichment,Enrichment_Details
JRIU01000031.1,126500,127500,1000,"WT-37, WTA, CAS",3,681.3218423089515,CAS,949.6792653061224,"{'WT-37': {'Fold_Enrichment': 497.6928770053476, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 596.5933846153846, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 949.6792653061224, 'Q_Value': 0.0}}"
JRIU01000031.1,126000,127000,1000,"WT-37, WTA, CAS",3,609.346601816251,CAS,870.5393265306122,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 870.5393265306122, 'Q_Value': 0.0}}"
JRIU01000031.1,45500,46500,1000,"WT-37, WTA, CAS",3,556.5866426325775,CAS,712.2594489795918,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 712.2594489795918, 'Q_Value': 0.0}}"
JRIU01000031.1,45000,46000,1000,"WT-37, WTA, CAS",3,556.5866426325775,CAS,712.2594489795918,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 712.2594489795918, 'Q_Value': 0.0}}"
JRIU01000148.1,13000,14000,1000,"WT-37, WTA, CAS",3,343.39278452849675,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 395.699693877551, 'Q_Value': 2.8554242303968635e-11}}"
JRIU01000243.1,0,1000,1000,"WT-37, WTA, CAS",3,329.6873488129517,CAS,553.9795714285714,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 372.8708653846154, 'Q_Value': 3.706904228018004e-11}, 'CAS': {'Fold_Enrichment': 553.9795714285714, 'Q_Value': 0.0}}"
JRIU01000135.1,0,1000,1000,"WT-37, WTA, CAS",3,265.6418368627171,WTA,372.8708653846154,"{'WT-37': {'Fold_Enrichment': 186.63482887700533, 'Q_Value': 5.300325621016011e-06}, 'WTA': {'Fold_Enrichment': 372.8708653846154, 'Q_Value': 3.706904228018004e-11}, 'CAS': {'Fold_Enrichment': 237.4198163265306, 'Q_Value': 2.3870656744954624e-06}}"
JRIU01000072.1,149500,150500,1000,"WT-37, WTA, CAS",3,117.57050139356443,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000098.1,7500,8500,1000,"WT-37, WTA, CAS",3,117.57050139356443,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000072.1,149000,150000,1000,"WT-37, WTA, CAS",3,117.57050139356443,WTA,149.14834615384615,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.0006256128290030802}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003521856375930573}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000031.1,127000,128000,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
JRIU01000166.1,17500,18500,1000,"WT-37, WTA, CAS",3,71.97524049270058,CAS,79.1399387755102,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'CAS': {'Fold_Enrichment': 79.1399387755102, 'Q_Value': 0.012556347904558174}}"
