Region,ERG_Count,ERG_Total,ERG_Percentage,Other_Count,Other_Total,Other_Percentage,Odds_Ratio,P_Value,Q_Value
upstream_regulatory,0,150,0.0,7994,29010,27.556015167183727,0.0,1.5041051767430876e-21,1.2032841413944701e-20
proximal_promoter,15,150,10.0,2558,29010,8.81764908652189,1.1489879245938668,0.5642672568787239,0.6675177957537586
distal_promoter,15,150,10.0,2620,29010,9.031368493622889,1.1191687871077185,0.6675177957537586,0.6675177957537586
other,46,150,30.666666666666664,10745,29010,37.038952085487765,0.7518613308515588,0.12667074506952408,0.20267319211123852
downstream_regulatory,30,150,20.0,2982,29010,10.279214064115823,2.182092555331992,0.00037807099462801807,0.0007561419892560361
core_promoter,29,150,19.333333333333332,1501,29010,5.174077904170975,4.392449111060945,9.777981848001515e-10,3.911192739200606e-09
5_UTR,15,150,10.0,386,29010,1.3305756635642882,8.239493379389753,2.7596242412048546e-09,7.358997976546279e-09
3_UTR,0,150,0.0,224,29010,0.7721475353326439,0.0,0.6339870609286373,0.6675177957537586
