VCF_Chromosome	SnpEff_Chromosome	Notes
JRIU01000001.1	w303_scaffold_1	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000002.1	w303_scaffold_10	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000003.1	w303_scaffold_100	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000004.1	w303_scaffold_101	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000005.1	w303_scaffold_102	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000006.1	w303_scaffold_103	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000007.1	w303_scaffold_104	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000008.1	w303_scaffold_105	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000009.1	w303_scaffold_106	Auto-generated mapping (NEEDS VERIFICATION)
JRIU01000010.1	w303_scaffold_107	Auto-generated mapping (NEEDS VERIFICATION)
